"Y","XS","XC","TP","rf","tmax","tmin","varpr","srad","wind","growth","Z"
-3.57555076880693,1,685.2352941,18.66216406,64.32323232,24.87765058,12.02393569,1.412380219,16770.5303,2.339142006,"herb","Petunia"
-2.07944154167984,0,689.6,17.4697742,144.2727273,20.50632618,10.52401936,1.476197736,14022.90909,2.364162882,"herb","Petunia"
-1.84516024595517,0,725.7,18.27247623,121.7401961,22.91742951,13.29042884,1.606256624,14850.41667,2.515198218,"herb","Petunia"
-2.09557092360972,0,705,16.047043,131.75,21.18048,10.9123335,1.5158311,13325.83333,2.1974165,"herb","Petunia"
-1.69826912614072,0,695.0571429,17.05192314,137.6792453,22.31270998,11.27766464,1.530078728,14206.02516,2.082086045,"herb","Petunia"
0.116893751471499,0,361.3229814,20.58467842,38.85386473,28.79900633,11.98279201,1.200112329,18558.03502,2.766404232,"herb","Physalis"
0.115112807100505,0,522.2570888,23.16853773,122.9949591,28.6690372,18.45359583,2.148106984,17415.49455,2.497505278,"herb","Physalis"
0.141152279755884,0,391.3584906,19.44726389,58.4,24.9162427,11.30450486,1.360310698,17399.025,3.477396375,"herb","Physalis"
-0.571992059003478,1,447.32,22.77465402,157.9227749,27.95921947,18.29810479,2.301784437,17983.46684,2.65263938,"herb","Physalis"
-0.233800131502739,1,348.2786378,20.08419552,18.30504234,27.44129816,12.05601448,0.911960654,19222.54763,3.229567452,"herb","Physalis"
0.737355435224266,1,471.0490196,15.87648529,41.10561148,22.06690927,8.773200291,0.972833614,17237.23397,3.552231793,"herb","Physalis"
0.704581558185609,1,297.5691769,10.51774784,83.36556112,16.08817089,4.846876912,1.03994235,13912.10743,3.714113068,"herb","Physalis"
0.662687973075237,0,559.0304878,16.93048345,85.18357488,22.61842412,11.51405314,1.384327586,16481.21015,2.883015164,"herb","Physalis"
-0.176737178500054,1,471.1088083,23.74182646,108.2194323,29.64040472,18.23630164,2.090357206,18159.31878,2.13636355,"herb","Physalis"
0.314080546306312,0,348.0714286,13.53578554,62.46527778,19.52216242,6.029942675,1.092243057,16014.61111,3.332725592,"herb","Physalis"
0.113685764403816,1,401.4313725,22.72168306,66.87142857,30.34431563,15.40867052,1.655288371,18401.7119,2.186201883,"herb","Physalis"
-0.0304592074847086,0,342.3412322,11.95644448,62.12397661,18.51422963,5.700924123,0.977484497,15287.96345,3.513313692,"herb","Physalis"
-0.116533816255952,1,437.9230769,22.42854679,80.96590909,29.168936,16.1947792,1.881882623,17463.26894,2.190844686,"herb","Physalis"
0.78845736036427,0,427.9683544,20.31932928,80.84619342,26.96830074,13.29898834,1.538560109,18296.94239,2.168491395,"herb","Physalis"
0.487966329619908,0,418.3802817,16.70889336,51.56981982,24.15094903,8.177634478,1.070441185,18076.21959,2.412261276,"herb","Physalis"
-0.160168752152821,1,432.9965378,12.71882068,84.38163562,16.28665235,8.824448743,1.198986604,12922.10041,3.952689215,"herb","Physalis"
0.424613926946925,0,350.8190955,14.81558975,72.34823848,20.58919495,8.861768343,1.208128803,14970.01189,2.77626351,"herb","Physalis"
-0.198450938723838,1,491.8359375,21.79115489,97.22280093,27.82302944,16.23603168,1.889336515,17979.48148,2.515651338,"herb","Physalis"
-0.452556715642015,0,484.3476821,21.15552262,140.9540509,27.00603953,16.35949027,2.031648003,16738.24057,2.496830843,"herb","Physalis"
0.424221436590608,1,310.047619,12.98252094,79.26048565,19.18217275,7.083208084,1.146406086,15225.67715,4.307952958,"herb","Physalis"
0.425267735404344,1,305.6872727,11.07848109,73.70192308,16.95244389,4.736848425,1.039151311,14578.13328,3.546967462,"herb","Physalis"
-0.809680996815897,0,659.7061995,18.51139621,74.3162963,24.62178164,12.09414773,1.47029515,16843.54988,3.129449365,"herb","Physalis"
-0.830113035633103,0,728.8333333,11.4412374,63.04545455,15.99543791,4.042354036,0.787574842,17155.2803,2.949802755,"herb","Schizanthus"
-0.601115095113452,1,715.6,14.0641823,33.60119048,19.11399579,7.620518993,0.968267636,17408.88095,3.883668064,"herb","Schizanthus"
0.203838400256204,0,724.2285714,5.683563066,57.19174757,13.25901812,1.062010054,0.571152749,16143.33657,3.917196073,"herb","Schizanthus"
0.405465108108164,1,727.7916667,6.515195954,74.1729798,13.68541806,1.727357548,0.626184358,16082.86111,3.557806073,"herb","Schizanthus"
0.316561032002158,1,723.25,8.183619875,31.4,13.955484,2.67127484,0.616970444,19094.91667,3.38385822,"herb","Schizanthus"
-0.0978333603487631,1,697.5714286,15.306354,27.5,19.140464,8.235264775,0.975627533,18171.66667,4.168224325,"herb","Schizanthus"
-0.708463884671839,1,727.5625,14.17984734,28.34166667,18.91693505,8.04911661,1.064133931,16638.47083,3.011117185,"herb","Schizanthus"
-0.715392789507265,1,463.4848485,9.780036018,59.85817308,14.69259477,4.400959289,0.892220536,13266.8758,3.260319273,"herb","Schizanthus"
-0.693147180559945,1,204,6.283995718,57.56060606,9.911647818,2.656846004,0.828941483,9835.416667,3.682161991,"herb","Schizanthus"
-0.0973604902550264,0,711.625,19.2364545,133.9479167,23.95541388,14.212854,1.643264258,17697.8559,3.475889808,"herb","Solanum_ E"
0.993251773010283,1,505.0361174,24.39811348,106.4815779,30.36491675,20.05061359,2.317916514,16972.74807,1.662472188,"herb","Solanum_ D"
2.28564237226373,1,542.1428571,18.20351729,125.4385965,23.23636663,12.81433295,1.499081479,17172.6886,2.601089784,"herb","Solanum_ D"
-0.00360649559411174,0,722.016,16.10386522,69.2617096,21.64093954,9.738751717,1.180843968,17748.71038,3.00587911,"herb","Solanum_ E"
0.172271220940453,1,515.5806452,25.20162653,125.9538153,30.04983717,20.33383037,2.488347999,16053.00703,1.721955088,"herb","Solanum_ C"
0.230794210244733,1,724.5197368,15.8733051,75.67523474,21.32286696,10.19239878,1.232017755,17311.09319,2.918589136,"herb","Solanum_ E"
2.12942147398486,1,348.6652174,18.04088529,73.17060367,24.4645356,12.2091135,1.466202234,16597.62625,3.862842648,"herb","Solanum_ B"
0.792992515529661,0,722.4614883,19.17984485,34.80743484,25.30722025,11.94957146,1.08201217,18601.23782,3.007852515,"herb","Solanum_ E"
1.25276296849537,0,403.6933073,21.39131639,110.8265777,28.24208592,17.50903845,1.967840747,18037.74164,1.878649685,"herb","Solanum_ D"
