Genus,Species_Epithet,Weight_list,cx,temp,tmax,tmin,varpr,srad,wind,rf,SCSI,Growth,Weight_source,SCSI_source,Growth_source,WeightURL,SCSIURL,growthURL,tip,an.pe
Diplotaxis,tenuifolia,0.32,296.5984991,10.26798709,14.43713409,6.098775024,0.985669239,11906.48168,3.880565609,62.16968939,SI,herb,Kew_SID,kroh et al. (1967),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Diplotaxis,viminea,0.388,285.2834951,13.56220667,18.41042509,8.713961554,1.139375374,14384.20696,3.481954821,53.15501618,SC,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Erysimum,asperum,0.45,286.1333333,8.017813967,15.05117188,0.984397321,0.735135393,15296.89561,4.37358994,41.1504386,SI,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Erysimum,capitatum,0.607,316.8024565,10.24517772,17.53350389,2.956866078,0.708477946,16948.5122,3.520764498,52.58665984,SI,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Erysimum,cheiranthoides,0.2,206.4454935,5.588902997,9.655384305,1.522415692,0.795195468,10051.32297,3.50546233,61.27322508,SC,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Erysimum,cheiri,1.4,257.8648363,10.35545097,14.41590882,6.294934866,1.005242622,11612.64009,3.868753253,68.15452306,SI,herb,Kew_SID,Feliner (2011),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Erysimum,insulare,1.688,317.3333333,12.9285283,19.42367567,6.433749433,0.984772957,16898.72222,3.8570805,21.94444444,SI,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Erysimum,linifolium,0.324,289.9421965,12.19760763,17.18372674,7.211706201,0.983405739,14929.68015,3.087811647,79.33429672,SI,herb,Kew_SID,Grossenbacher et al. (2017),GBIF,http://data.kew.org/sid/SidServlet?ID=9255&Num=N4d,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://www.gbif.org/species/3048198,NA,NA
Erysimum,menziesii,1.34,301.1428571,11.50426785,16.85150007,6.156597636,0.976907412,15438.2381,3.642703679,91.03571429,SC,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Erysimum,repandum,0.26,284.5440181,10.44514039,16.08625518,4.804069704,0.89862588,13795.05418,3.583458023,54.97827314,SC,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
